title,company,location,tags,description,url
Sales Development Representative,Harkla,,sales,"Job Title:  Sales Development Representative (SDR) â K-12 School Sales Company:  Harkla Location:  Remote (Worldwide, must have 3+ hours overlap with Mountain Time) Job Type:  Full-Time About Harkla Harkla helps families raise happy, healthy children with autism, ADHD, and sensory needs. Through high-quality sensory products and accredited online courses, we support schools, therapists, and parents in creating inclusive environments for every child. About the Role We are hiring a Sales Development Representative (SDR) to take ownership of top-of-funnel sales activity in our school channel. Youâll manage inbound leads, re-engage past school customers, and launch structured outbound outreach to Kâ12 districts. Your primary goal is to turn interest into purchase orders or book qualified meetings for our CEO to close. Key Responsibilities Clean, organize, and segment school leads in Pipedrive Build and run email sequences aligned with school funding cycles Execute 40â60 daily touchpoints (calls, emails, social) Qualify leads and book discovery meetings or collect POs Re-engage past customers to introduce new products and CEU-approved courses Launch targeted outbound outreach to districts using public data sources (NCES, K12 Data) Success Metrics 12â18 meetings or 4â8 purchase orders per month 40â60 touchpoints per day 8%+ response rate on sequences 4Ã return on compensation by Month 6 Candidate Requirements 1â3 years experience in a sales development, inside sales, or lead generation role (EdTech or education market experience is a plus) Strong written communication and confident phone presence Proficient with CRMs (Pipedrive preferred), Apollo, or similar tools Highly organized, self-motivated, and goal-driven Bonus: Familiarity with Title I funding, district buying cycles, or special education Compensation & Benefits Base Salary: $2,000 â $4,000/month based on experience and location Commission: $100 bonus on each sale over $1,000 (no cap) Profit-sharing bonus (2024 average: $533/month) 20 days PTO + paid holidays (flexible for non-U.S. employees) Health, dental, and 401(k) match for U.S.-based employees Health stipend for international team members Annual stipend for home office and education expenses Please mention the word **SOFT** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-sales-development-representative-harkla-1093704
Senior Front End Engineer,AscendEX,,"design, cryptocurrency, front-end, back-end, software, growth, code, web, financial, management, senior, junior, engineer, engineering, digital nomad","AscendEx, a leading global cryptocurrency trading platform, is seeking a highly skilled Senior Front-End Engineer to join our dynamic team. As a Front-End Engineer, you will be responsible for architecting and building user-friendly and visually stunning web applications that enhance the trading experience for our users. Key Responsibilities:   Design and implement user interfaces for web applications using modern front-end technologies.   Transform wireframes and concepts into functional and responsive web applications.   Optimize applications for maximum speed and scalability while ensuring a smooth user experience.   Conduct code reviews, provide mentorship to junior developers, and promote best practices in the engineering team.   Work closely with back-end developers to integrate APIs and ensure seamless data flow between the front-end and back-end systems.   Stay up-to-date with emerging technologies and industry trends to bring innovative ideas to the table.   
   Bachelorâs degree in Computer Science, Software Engineering, or a related field.   5+ years of professional experience in front-end development with proficiency in JavaScript, HTML, CSS, and modern front-end frameworks (React, Vue.js, or Angular).   Strong experience with state management libraries such as Redux or Vuex.   Familiarity with responsive design principles and frameworks (e.g., Bootstrap, Material-UI).   Proficiency in using tools like Webpack, Babel, and NPM for project management.   Experience with version control systems, particularly Git.   Solid understanding of RESTful APIs and asynchronous request handling.   Good analytical and problem-solving skills, with a keen attention to detail.   Experience with cryptocurrency or financial trading platforms is a plus.   Excellent communication skills and the ability to work collaboratively within a team.   
 - Work alongside diverse, world-class talent in an environment where learning and growth opportunities are endless  - Tackle fast-paced, challenging and unique projects  - Flexible working hours, remote-first - Competitive salary and benefits  Please mention the word **SUCCEEDING** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-front-end-engineer-ascendex-1093703
Business Data Analyst,Coin Market Cap Ltd,,"analyst, crypto, support, growth, web, financial, mobile, operational, analytics","We are looking for a highly analytical and business-minded Business Data Analyst with 2â3 years of experience, ideally with a background in market research and operational analysis. In this role, you will partner closely with cross-functional teams to turn complex data into actionable business insights that drive decision-making, operational efficiency, and strategic growth. Key Responsibilities: - Analyze internal and external data to identify trends, assess performance, and support business strategy; - Conduct in-depth market research and competitive analysis to inform product and growth decisions; - Translate data insights into clear, actionable recommendations that support execution across product, marketing, and operations; - Build and maintain dashboards, business reports, and performance metrics to monitor KPIs and key initiatives; - Collaborate with cross-functional teams to define data requirements and support business planning; - Participate in forecasting, scenario modeling, and business case development; - Provide ad hoc insights and data support for strategic and operational projects; Qualifications: - Bachelorâs degree in Business, Economics, Data Science, Statistics, or a related field; - 2â3 years of experience in data analytics or business analysis, with strong exposure to market research; - Proficient in SQL and at least one analytical tool (e.g., Python, R, Excel); - Experienced with BI platforms such as Tableau, Power BI, or Looker; - Strong business acumen and ability to connect data findings to real-world decisions and outcomes; - Excellent communication skills with the ability to influence stakeholders across departments; Plus: - Experience in a crypto exchange, fintech, or fast-growing tech company; - Familiarity with user behavior data, growth metrics, and financial KPIs; - Understanding of web or mobile analytics platforms (e.g., Google Analytics, Mixpanel); \n \n Please mention the word **ACCOMODATIVE** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-business-data-analyst-coin-market-cap-ltd-1093701
Infrastructure,Backpack ,,"security, developer, cloud, engineering, digital nomad","You will: Design, implement, and maintain infrastructure tools and services in Rust Own CI/CD pipelines, monitoring, and deployment automation Collaborate with engineering and security teams to ensure scalable and resilient systems Optimize infrastructure for performance, cost, and security Help shape internal developer experience and workflows Requirements: At least 3+ years of experience in DevOps, SRE, or infrastructure engineering Strong proficiency in Rust Experience managing cloud infrastructure (AWS, GCP, or similar) Proficiency with containerization, orchestration, and observability tools (e.g., Docker, Kubernetes, Prometheus, etc.) Obsessive about reliability, automation, and elegant internal tooling Very fluent in English What youâll get: Generous ownership & stake in the company. Weâre looking for owners. A fast-paced environment. Flexible working hours & hybrid schedule. Location: We have offices in Chicago, Dubai, and Tokyo. Youâre welcome to join us there and weâll handle your visa. Remote is also acceptable for the right candidate. Please mention the word **EXCITES** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-infrastructure-backpack-1093700
Software Engineer Data Infrastructure & Acquisition,Speechify,,dev,"The mission of Speechify is to make sure that reading is never a barrier to learning. Over 50 million people use Speechifyâs text-to-speech products to turn whatever theyâre reading â PDFs, books, Google Docs, news articles, websites â into audio, so they can read faster, read more, and remember more. Speechifyâs text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App.Â Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity.Â Â  Today, nearly 200 people around the globe work on Speechify in a 100% distributed setting â Speechify has no office. These include frontend and backend engineers, AI research scientists, and others from Amazon, Microsoft, and Google, leading PhD programs like Stanford, high growth startups like Stripe, Vercel, Bolt, and many founders of their own companies. Overview We're looking to hire for our Data side of our AI team at Speechify. This role is responsible for all aspects of data collection to support our model training operations. We are able to build high-quality datasets at petabyte-scale and low cost through a tight integration of infrastructure, engineering, and research work. We are looking for a skilled Software Engineer to join us. What Youâll Do Be scrappy to find new sources of audio data and bring it into our ingestion pipeline Operate and extend the cloud infrastructure for our ingestion pipeline, currently running on GCP and managed with Terraform. Collaborate closely with our Scientists to shift the cost/throughput/quality frontier, delivering richer data at bigger scale and lower cost to power our next-generation models. Collaborate with others on the AI Team and Speechify Leadership to craft the AI Teamâs dataset roadmap to power Speechifyâs next-generation consumer and enterprise products. An Ideal Candidate Should Have BS/MS/PhD in Computer Science or a related field. 5+ years of industry experience in software development. Proficiency with bash/Python scripting in Linux environments Proficiency in Docker and Infrastructure-as-Code concepts and professional experience with at least one major Cloud Provider (we use GCP) Experience with web crawlers, large-scale data processing workflows is a plus Ability to handle multiple tasks and adapt to changing priorities. Strong communication skills, both written and verbal. Please mention the word **PLEASINGLY** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-software-engineer-data-infrastructure-acquisition-speechify-1093699
Software Engineer II Full Stack,Greenlight Financial Technology,Atlanta (Remote Friendly),"software, design, technical, recruiter, support, web, finance, financial, fintech, banking, mobile, senior, reliability, health, engineer, engineering, backend, digital nomad","Greenlight is the leading family fintech company on a mission to help parents raise financially smart kids. We proudly serve more than 6 million parents and kids with our award-winning banking app for families. With Greenlight, parents can automate allowance, manage chores, set flexible spend controls, and invest for their familyâs future. Kids and teens learn to earn, save, spend wisely, and invest.  At Greenlight, we believe every child should have the opportunity to become financially healthy and happy. Itâs no small task, and thatâs why we leap out of bed every morning to come to work. Because creating a better, brighter future for the next generation depends on it. Greenlight is looking for a  Full-Stack Software Engineer  focused for our Web Core team. This team focuses on core web initiatives including bringing the core Greenlight functionality on the web for the first time and functioning as a horizontal platform team to support other web teams. This includes setting standards, defining best practices, building common libraries and mentoring other web developers. You will be expected to also make contributions to our backend services as required to accomplish the team deliverables. This role reports to a Sr Engineering Manager. \n Your day-to-day: Product development:  Assisting in building new experiences for the Greenlight website. You'll collaborate with domain teams, product managers, and designers to implement different parts of the Greenlight mobile application experience on the web, learning from senior engineers throughout the process. Platform:  As a member of the web core team, you will contribute to supporting all web development within Greenlight. This includes providing support for web teams, defining standards, best practices and determining technologies Scaling and maintaining our backend services:  You'll assist in the evolution of our backend services to support new feature requests and our growing user base, learning about scalable systems and maintenance best practices. Improving the reliability and availability of the platform:  You will contribute to efforts to enhance the reliability and availability of the platform that supports our families and partners. Working in a strong, collaborative team to quickly deliver high-quality web products. Working closely with product and design teams, you will help implement incremental features, gaining experience in balancing new development with technical debt. What youâll bring to the team: BS degree in Computer Science or equivalent 3+ years software development experience The ability to context switch frequently in a fast-paced environment An eye towards performance, scalability, and observability Experience building single page applications using a modern framework Experience building REST apisRecent experience building backend services using  node.js . Understanding of how to execute well on the build/measure/learn process and lean startup skills Technologies we use: React, NextJS, Remix, Tailwind, Cypress REST, Express AWS, Kubernetes (EKS) Kotlin experience preferred Work perks at Greenlight: Medical, dental, vision, and HSA match  Paid life insurance, AD&D, and disability benefits  Traditional 401k with company match Unlimited PTO  Paid company holidays and pop-up bonus holidays  Mental health resources   Professional development stipend 1:1 financial planners Fertility healthcare 100% paid parental and caregiving leave, plus cleaning service and meals during your leave Flexible WFH, both remote and in-office opportunities Fully stocked kitchen, catered lunches, and occasional in-office happy hours Employee resource groups \n Our stance on salaries: Greenlight provides a competitive compensation package with a market-based approach to pay and will vary depending on your location, experience and skill set. The total compensation package for this position will also include a discretionary performance bonus, equity rewards, medical benefits, 401K match, and more. Greenlight conducts continuous compensation evaluations across departments and geographies to ensure we are keeping our pay current and competitive. The estimated base pay range for this position in (NY, CA, WA): $122,000- 180,000 The estimated base pay range for this position in (CO): $122,000- 155,000 Who we are: It takes a special team to aim for a never-been-done-before mission like ours. Weâre looking for people who love working together because they know it makes us stronger, people who look to others and ask, âHow can I help?â and then âHow can we make this even better?â If youâre ready to roll up your sleeves and help parents raise a financially smart generation, apply to join our team. Greenlight is an equal opportunity employer and will not discriminate against any employee or applicant based on age, race, color, national origin, gender, gender identity or expression, sexual orientation, religion, physical or mental disability, medical condition (including pregnancy, childbirth, or a medical condition related to pregnancy or childbirth), genetic information, marital status, veteran status, or any other characteristic protected by federal, state or local law. Greenlight is committed to an inclusive work environment and interview experience. If you require reasonable accommodations to participate in our hiring process, please reach out to your recruiter directly or email  recruiting@greenlight.me .  Please mention the word **CHEAPEST** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-software-engineer-ii-full-stack-greenlight-financial-technology-1093698
Associate Creative Director,Right Side Up,"Austin, TX","director, design, financial, lead, junior, marketing, digital nomad","About the Job Right Side Up  is a collective of premium marketing talentâwith all of the marketing chops and none of the agency fluff. Weâre trusted by the most buzzed-about early stage ventures, the fastest-growing tech companies, and well-established Fortune 500 teams to do one thing better:  GROWTH . Some of our clients include  Stitch Fix, Sephora, Yelp, Sun Basket, Crunchbase, DoorDash , and  Calm , among many others. Weâre seeking a seasoned  Associate Creative Director, Visual  for a  contract engagement  to lead the visual direction and execution of marketing, product, events, and social initiatives for our client. In this role, you'll help shape and expand the brand through compelling visual storytelling and strategic design leadership. Key Responsibilities - Lead visual design and art direction across integrated campaigns, events, editorial, and social projects - Collaborate cross-functionally with writers, designers, motion artists, and strategists to develop cohesive creative concepts - Mentor and guide junior designers through feedback and reviews - Ensure consistency, quality, and attention to detail across all creative output - Present work to internal stakeholders and leadership with clarity and confidence - Help evolve and scale the brandâs visual identity and design systems - Partner with producers and project managers to manage timelines and creative resources Qualifications - 7+ years of experience in design and art direction, including 3+ years in a creative leadership role - Strong portfolio showcasing success across branding, campaigns, product, and event design - Deep understanding of brand systems, visual storytelling, and cross-channel execution - Proven ability to mentor creative teams and thrive in a collaborative environment - Experience in product marketing and building visuals that clearly communicate complex product stories Bonus:  Experience in financial services and/or in-product design \n \n Please mention the word **EMPATHY** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-associate-creative-director-right-side-up-1093697
Revenue Operations Manager,AFAR,"New York, NY","manager, design, support, growth, travel, finance, strategy, management, lead, operations, marketing, sales, digital nomad","AFAR is hiring a Revenue Operations Manager to help power the next chapter of growth in travel media.  If you're someone who thrives at the intersection of data, process, and sales strategyâand you love making things run smarter, faster, and more efficientlyâthis role is for you. As  Revenue Operations Manager , youâll play a key role in supporting our Sales team with the tools, systems, and insights they need to drive revenue and scale success, reporting directly into the VP, Publisher. What Youâll Do Own our CRM (Boostr) : Keep it clean, accurate, and powerful. Youâll lead audits, improve data hygiene, and automate key workflows. Segment and prioritize accounts : Help sellers focus their time on the most valuable opportunities, using data and logic to guide outreach strategy. Optimize the sales pipeline : Support weekly reviews, improve forecasting, and help move deals through faster with better stage management and sales processes. Build smart reporting : Create dashboards and reports that give Sales and Finance the visibility they need to hit goals and make decisions. Streamline sales operations : Document our full sales process and look for ways to reduce frictionâlike automating lead routing or setting up renewal triggers. Partner on playbooks and enablement : Work with Marketing to build messaging, templates, and tools that help our sellers close with confidence. Lead strategic projects : From developing a nationwide DMO database to designing territory plans, youâll help turn big ideas into action. Qualifications 3+ years of experience in Revenue Operations, Sales Operations, or CRM Administration (media, advertising, or digital publishing experience preferred). Deep knowledge of CRM systems (Boostr a plus), pipeline forecasting, reporting tools (Excel, Looker, Google Sheets), and sales enablement practices. Strong communicator with a bias toward action, attention to detail, and ability to work cross-functionally. Skilled at balancing strategic thinking with day-to-day execution. Experience in account segmentation, territory planning, and marketing-to-sales funnel design is a strong plus. Passion for travel, marketing, or media? Thatâs a bonus. Bonus Projects Youâll Help Lead *Segmenting 500+ sales accounts into usable priority tiers. *Creating a universal database of endemic travel accounts to grow advertising revenue. *Building a lead nurture strategy for accounts not yet in the pipeline. *Supporting smarter territory planning and vertical-specific outreach. \n \n $80,000 - $100,000 a year Depending on experience \n Why AFAR?  AFAR is a leading travel media brand dedicated to experiential travel and global citizenship. We believe travel has the power to make the world a better placeâand we reflect those values in our people, partnerships, and products. Youâll join a passionate, collaborative team committed to innovation, creativity, and impact. Ready to help us modernize our revenue engine and build the future of travel media?  Apply nowâweâre excited to meet you. Please mention the word **LOGICAL** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-revenue-operations-manager-afar-1093696
Fullstack Golang Engineer,Discern,,"golang, software, golang, engineer, fullstack","Stamford, United States - Discern is a modern registered agent and venture backed software provider. We build technology to automate entity compliance by monitoring status/standing, foreign nexus, automating filing requirements, and acting as a Registered Agent.The Team Youâll Work WithW... Please mention the word **CLEANLINESS** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-fullstack-golang-engineer-discern-1093694
C C++ Linux developer,Tempesta Technologies,,"linux, c plus plus, c, databases, algorithms, data structures","Weâre looking for talented and experienced C/C++ Linux developers, who can do a lot and want to learn even more. As a part of our team youâll be developing the fastest open source software, investigate and fix sophisticated performance issues on powerful Linux servers and talk on top technical conferences.Â  Youâll develop performance and scalability extensions of MySQL/InnoDB (e.g. we madeÂ  MariaDB System Versioning ), the Linux kernel, Nginx and other popular open source projects. Youâll also analyze the performance of heavily loaded large Linux systems and make them even faster.Â  Youâll be able to talk at major international conferences about the Linux kernel and databases at will.Â  Required skills: Fluent C and good C++ or willingness to learn C++ Deep understanding of the Linux kernel Good knowledge of classic algorithms and efficient data structures Experience with multithreading (POSIX threads, C++ STL) Good to have: Experience in the Linux kernel development (kernel/, mm/, net/, security/) Some experience with Python to develop functional testing scripts Experience in the networking area (IPv4, IPv6, TCP, TLS, QUIC, HTTP) Understanding how modern hardware (x86-64 CPUs, network adapters and disks) work Experience with Rust or willingness to learn the language Please send your CV and cover letter atÂ  hk@tempesta-tech.com . Please mention the word **SOUNDNESS** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-c-c-linux-developer-tempesta-technologies-1093692
