title,company,location,tags,description,url
Sales Development Representative,Harkla,,sales,"<p><strong>Job Title:</strong> Sales Development Representative (SDR) â K-12 School Sales<br /><strong>Company:</strong> Harkla<br /><strong>Location:</strong> Remote (Worldwide, must have 3+ hours overlap with Mountain Time)<br /><strong>Job Type:</strong> Full-Time</p><hr /><h3>About Harkla</h3><p>Harkla helps families raise happy, healthy children with autism, ADHD, and sensory needs. Through high-quality sensory products and accredited online courses, we support schools, therapists, and parents in creating inclusive environments for every child.</p><hr /><h3>About the Role</h3><p>We are hiring a Sales Development Representative (SDR) to take ownership of top-of-funnel sales activity in our school channel. Youâll manage inbound leads, re-engage past school customers, and launch structured outbound outreach to Kâ12 districts. Your primary goal is to turn interest into purchase orders or book qualified meetings for our CEO to close.</p><hr /><h3>Key Responsibilities</h3><ul><li><p>Clean, organize, and segment school leads in Pipedrive</p></li><li><p>Build and run email sequences aligned with school funding cycles</p></li><li><p>Execute 40â60 daily touchpoints (calls, emails, social)</p></li><li><p>Qualify leads and book discovery meetings or collect POs</p></li><li><p>Re-engage past customers to introduce new products and CEU-approved courses</p></li><li><p>Launch targeted outbound outreach to districts using public data sources (NCES, K12 Data)</p></li></ul><hr /><h3>Success Metrics</h3><ul><li><p>12â18 meetings or 4â8 purchase orders per month</p></li><li><p>40â60 touchpoints per day</p></li><li><p>8%+ response rate on sequences</p></li><li><p>4Ã return on compensation by Month 6</p></li></ul><hr /><h3>Candidate Requirements</h3><ul><li><p>1â3 years experience in a sales development, inside sales, or lead generation role (EdTech or education market experience is a plus)</p></li><li><p>Strong written communication and confident phone presence</p></li><li><p>Proficient with CRMs (Pipedrive preferred), Apollo, or similar tools</p></li><li><p>Highly organized, self-motivated, and goal-driven</p></li><li><p>Bonus: Familiarity with Title I funding, district buying cycles, or special education</p></li></ul><hr /><h3>Compensation &amp; Benefits</h3><ul><li><p>Base Salary: $2,000 â $4,000/month based on experience and location</p></li><li><p>Commission: $100 bonus on each sale over $1,000 (no cap)</p></li><li><p>Profit-sharing bonus (2024 average: $533/month)</p></li><li><p>20 days PTO + paid holidays (flexible for non-U.S. employees)</p></li><li><p>Health, dental, and 401(k) match for U.S.-based employees</p></li><li><p>Health stipend for international team members</p></li><li><p>Annual stipend for home office and education expenses<br /></p></li></ul><br/><br/>Please mention the word **SOFT** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-sales-development-representative-harkla-1093704
Senior Front End Engineer,AscendEX,,"design, cryptocurrency, front-end, back-end, software, growth, code, web, financial, management, senior, junior, engineer, engineering, digital nomad","<p>AscendEx, a leading global cryptocurrency trading platform, is seeking a highly skilled Senior Front-End Engineer to join our dynamic team. As a Front-End Engineer, you will be responsible for architecting and building user-friendly and visually stunning web applications that enhance the trading experience for our users.</p><p></p>Key Responsibilities:<ul> <li>Design and implement user interfaces for web applications using modern front-end technologies.</li> <li>Transform wireframes and concepts into functional and responsive web applications.</li> <li>Optimize applications for maximum speed and scalability while ensuring a smooth user experience.</li> <li>Conduct code reviews, provide mentorship to junior developers, and promote best practices in the engineering team.</li> <li>Work closely with back-end developers to integrate APIs and ensure seamless data flow between the front-end and back-end systems.</li> <li>Stay up-to-date with emerging technologies and industry trends to bring innovative ideas to the table.</li> </ul>
<ul> <li>Bachelorâs degree in Computer Science, Software Engineering, or a related field.</li> <li>5+ years of professional experience in front-end development with proficiency in JavaScript, HTML, CSS, and modern front-end frameworks (React, Vue.js, or Angular).</li> <li>Strong experience with state management libraries such as Redux or Vuex.</li> <li>Familiarity with responsive design principles and frameworks (e.g., Bootstrap, Material-UI).</li> <li>Proficiency in using tools like Webpack, Babel, and NPM for project management.</li> <li>Experience with version control systems, particularly Git.</li> <li>Solid understanding of RESTful APIs and asynchronous request handling.</li> <li>Good analytical and problem-solving skills, with a keen attention to detail.</li> <li>Experience with cryptocurrency or financial trading platforms is a plus.</li> <li>Excellent communication skills and the ability to work collaboratively within a team.</li> </ul>
<p>- Work alongside diverse, world-class talent in an environment where learning and growth opportunities are endless </p><p>- Tackle fast-paced, challenging and unique projects </p><p>- Flexible working hours, remote-first</p><p>- Competitive salary and benefits </p><br/><br/>Please mention the word **SUCCEEDING** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-senior-front-end-engineer-ascendex-1093703
Business Data Analyst,Coin Market Cap Ltd,,"analyst, crypto, support, growth, web, financial, mobile, operational, analytics","<p><span style=""font-size: 11pt;"">We are looking for a highly analytical and business-minded Business Data Analyst with 2â3 years of experience, ideally with a background in market research and operational analysis. In this role, you will partner closely with cross-functional teams to turn complex data into actionable business insights that drive decision-making, operational efficiency, and strategic growth.</span></p><p><br></p><p><b style=""font-size: 11pt;"">Key Responsibilities:</b></p><p><span style=""font-size: 11pt;"">- Analyze internal and external data to identify trends, assess performance, and support business strategy;</span></p><p><span style=""font-size: 11pt;"">- Conduct in-depth market research and competitive analysis to inform product and growth decisions;</span></p><p><span style=""font-size: 11pt;"">- Translate data insights into clear, actionable recommendations that support execution across product, marketing, and operations;</span></p><p><span style=""font-size: 11pt;"">- Build and maintain dashboards, business reports, and performance metrics to monitor KPIs and key initiatives;</span></p><p><span style=""font-size: 11pt;"">- Collaborate with cross-functional teams to define data requirements and support business planning;</span></p><p><span style=""font-size: 11pt;"">- Participate in forecasting, scenario modeling, and business case development;</span></p><p><span style=""font-size: 11pt;"">- Provide ad hoc insights and data support for strategic and operational projects;</span></p><p><span style=""font-size: 11pt;"">Qualifications:</span></p><p><span style=""font-size: 11pt;"">- Bachelorâs degree in Business, Economics, Data Science, Statistics, or a related field;</span></p><p><span style=""font-size: 11pt;"">- 2â3 years of experience in data analytics or business analysis, with strong exposure to market research;</span></p><p><span style=""font-size: 11pt;"">- Proficient in SQL and at least one analytical tool (e.g., Python, R, Excel);</span></p><p><span style=""font-size: 11pt;"">- Experienced with BI platforms such as Tableau, Power BI, or Looker;</span></p><p><span style=""font-size: 11pt;"">- Strong business acumen and ability to connect data findings to real-world decisions and outcomes;</span></p><p><span style=""font-size: 11pt;"">- Excellent communication skills with the ability to influence stakeholders across departments;</span></p><p><br></p><p><b style=""font-size: 11pt;"">Plus:</b></p><p><span style=""font-size: 11pt;"">- Experience in a crypto exchange, fintech, or fast-growing tech company;</span></p><p><span style=""font-size: 11pt;"">- Familiarity with user behavior data, growth metrics, and financial KPIs;</span></p><p><span style=""font-size: 11pt;"">- Understanding of web or mobile analytics platforms (e.g., Google Analytics, Mixpanel);</span></p>\n<p></p><p><br></p><p></p>\n<br/><br/>Please mention the word **ACCOMODATIVE** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-business-data-analyst-coin-market-cap-ltd-1093701
Infrastructure,Backpack ,,"security, developer, cloud, engineering, digital nomad","<h2>You will:</h2><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">Design, implement, and maintain infrastructure tools and services in Rust</p></li><li><p style=""min-height:1.5em"">Own CI/CD pipelines, monitoring, and deployment automation</p></li><li><p style=""min-height:1.5em"">Collaborate with engineering and security teams to ensure scalable and resilient systems</p></li><li><p style=""min-height:1.5em"">Optimize infrastructure for performance, cost, and security</p></li><li><p style=""min-height:1.5em"">Help shape internal developer experience and workflows</p></li></ul><h2>Requirements:</h2><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">At least 3+ years of experience in DevOps, SRE, or infrastructure engineering</p></li><li><p style=""min-height:1.5em"">Strong proficiency in Rust</p></li><li><p style=""min-height:1.5em"">Experience managing cloud infrastructure (AWS, GCP, or similar)</p></li><li><p style=""min-height:1.5em"">Proficiency with containerization, orchestration, and observability tools (e.g., Docker, Kubernetes, Prometheus, etc.)</p></li><li><p style=""min-height:1.5em"">Obsessive about reliability, automation, and elegant internal tooling</p></li><li><p style=""min-height:1.5em"">Very fluent in English</p></li></ul><h2>What youâll get:</h2><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">Generous ownership &amp; stake in the company. Weâre looking for owners.</p></li><li><p style=""min-height:1.5em"">A fast-paced environment.</p></li><li><p style=""min-height:1.5em"">Flexible working hours &amp; hybrid schedule.</p></li></ul><h2>Location:</h2><p style=""min-height:1.5em"">We have offices in Chicago, Dubai, and Tokyo. Youâre welcome to join us there and weâll handle your visa. Remote is also acceptable for the right candidate.</p><br/><br/>Please mention the word **EXCITES** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-infrastructure-backpack-1093700
Software Engineer Data Infrastructure & Acquisition,Speechify,,dev,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p><p>Over 50 million people use Speechifyâs text-to-speech products to turn whatever theyâre reading â PDFs, books, Google Docs, news articles, websites â into audio, so they can read faster, read more, and remember more. Speechifyâs text-to-speech reading products include its iOS app, Android App, Mac App, Chrome Extension, and Web App.Â Google recently named Speechify the Chrome Extension of the Year and Apple named Speechify its 2025 Design Award winner for Inclusivity.Â Â </p><p>Today, nearly 200 people around the globe work on Speechify in a 100% distributed setting â Speechify has no office. These include frontend and backend engineers, AI research scientists, and others from Amazon, Microsoft, and Google, leading PhD programs like Stanford, high growth startups like Stripe, Vercel, Bolt, and many founders of their own companies.</p><p><strong>Overview</strong></p><p>We're looking to hire for our Data side of our AI team at Speechify. This role is responsible for all aspects of data collection to support our model training operations. We are able to build high-quality datasets at petabyte-scale and low cost through a tight integration of infrastructure, engineering, and research work. We are looking for a skilled Software Engineer to join us.</p><p><strong>What Youâll Do</strong></p><ul><li>Be scrappy to find new sources of audio data and bring it into our ingestion pipeline</li><li>Operate and extend the cloud infrastructure for our ingestion pipeline, currently running on GCP and managed with Terraform.</li><li>Collaborate closely with our Scientists to shift the cost/throughput/quality frontier, delivering richer data at bigger scale and lower cost to power our next-generation models.</li><li>Collaborate with others on the AI Team and Speechify Leadership to craft the AI Teamâs dataset roadmap to power Speechifyâs next-generation consumer and enterprise products.</li></ul><p><strong>An Ideal Candidate Should Have</strong></p><ul><li>BS/MS/PhD in Computer Science or a related field.</li><li>5+ years of industry experience in software development.</li><li>Proficiency with bash/Python scripting in Linux environments</li><li>Proficiency in Docker and Infrastructure-as-Code concepts and professional experience with at least one major Cloud Provider (we use GCP)</li><li>Experience with web crawlers, large-scale data processing workflows is a plus</li><li>Ability to handle multiple tasks and adapt to changing priorities.</li><li>Strong communication skills, both written and verbal.</li></ul><br/><br/>Please mention the word **PLEASINGLY** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-software-engineer-data-infrastructure-acquisition-speechify-1093699
Software Engineer II Full Stack,Greenlight Financial Technology,Atlanta (Remote Friendly),"software, design, technical, recruiter, support, web, finance, financial, fintech, banking, mobile, senior, reliability, health, engineer, engineering, backend, digital nomad","<p>Greenlight is the leading family fintech company on a mission to help parents raise financially smart kids. We proudly serve more than 6 million parents and kids with our award-winning banking app for families. With Greenlight, parents can automate allowance, manage chores, set flexible spend controls, and invest for their familyâs future. Kids and teens learn to earn, save, spend wisely, and invest.&nbsp;</p><p><br></p><p>At Greenlight, we believe every child should have the opportunity to become financially healthy and happy. Itâs no small task, and thatâs why we leap out of bed every morning to come to work. Because creating a better, brighter future for the next generation depends on it.</p><p><br></p><p><span style=""font-size: 16px"">Greenlight is looking for a </span><b style=""font-size: 16px"">Full-Stack Software Engineer </b><span style=""font-size: 16px"">focused for our Web Core team. This team focuses on core web initiatives including bringing the core Greenlight functionality on the web for the first time and functioning as a horizontal platform team to support other web teams. This includes setting standards, defining best practices, building common libraries and mentoring other web developers. You will be expected to also make contributions to our backend services as required to accomplish the team deliverables.</span></p><p><br></p><p><span style=""font-size: 16px"">This role reports to a Sr Engineering Manager.</span></p>\n<p></p><p><br></p><b>Your day-to-day:</b><ul><li><b>Product development: </b>Assisting in building new experiences for the Greenlight website. You'll collaborate with domain teams, product managers, and designers to implement different parts of the Greenlight mobile application experience on the web, learning from senior engineers throughout the process.</li><li><b>Platform: </b>As a member of the web core team, you will contribute to supporting all web development within Greenlight. This includes providing support for web teams, defining standards, best practices and determining technologies</li><li><b>Scaling and maintaining our backend services: </b>You'll assist in the evolution of our backend services to support new feature requests and our growing user base, learning about scalable systems and maintenance best practices.</li><li><b>Improving the reliability and availability of the platform: </b>You will contribute to efforts to enhance the reliability and availability of the platform that supports our families and partners.</li><li>Working in a strong, collaborative team to quickly deliver high-quality web products.</li><li>Working closely with product and design teams, you will help implement incremental features, gaining experience in balancing new development with technical debt.</li></ul><p><br></p><b>What youâll bring to the team:</b><ul><li>BS degree in Computer Science or equivalent</li><li>3+ years software development experience</li><li>The ability to context switch frequently in a fast-paced environment</li><li>An eye towards performance, scalability, and observability</li><li>Experience building single page applications using a modern framework</li><li>Experience building REST apisRecent experience building backend services using <a class=""postings-link"" href=""http://node.js"">node.js</a>.</li><li>Understanding of how to execute well on the build/measure/learn process and lean startup skills</li></ul><p><br></p><b>Technologies we use:</b><ul><li>React, NextJS, Remix, Tailwind, Cypress</li><li>REST, Express</li><li>AWS, Kubernetes (EKS)</li><li>Kotlin experience preferred</li></ul><p><br></p><b>Work perks at Greenlight:</b><ul><li>Medical, dental, vision, and HSA match&nbsp;</li><li>Paid life insurance, AD&amp;D, and disability benefits&nbsp;</li><li>Traditional 401k with company match</li><li>Unlimited PTO&nbsp;</li><li>Paid company holidays and pop-up bonus holidays&nbsp;</li><li>Mental health resources&nbsp;&nbsp;</li><li>Professional development stipend</li><li>1:1 financial planners</li><li>Fertility healthcare</li><li>100% paid parental and caregiving leave, plus cleaning service and meals during your leave</li><li>Flexible WFH, both remote and in-office opportunities</li><li>Fully stocked kitchen, catered lunches, and occasional in-office happy hours</li><li>Employee resource groups</li></ul><p><br></p><p></p>\n<p><b style=""font-size: 16px"">Our stance on salaries:</b></p><p><span style=""font-size: 16px"">Greenlight provides a competitive compensation package with a market-based approach to pay and will vary depending on your location, experience and skill set. The total compensation package for this position will also include a discretionary performance bonus, equity rewards, medical benefits, 401K match, and more. Greenlight conducts continuous compensation evaluations across departments and geographies to ensure we are keeping our pay current and competitive.</span></p><p><br></p><p><span style=""font-size: 16px"">The estimated base pay range for this position in (NY, CA, WA): $122,000- 180,000</span></p><p><span style=""font-size: 16px"">The estimated base pay range for this position in (CO): $122,000- 155,000</span></p><p><br></p><p><b style=""font-size: 16px;"">Who we are:</b></p><p><span style=""font-size: 16px;"">It takes a special team to aim for a never-been-done-before mission like ours. Weâre looking for people who love working together because they know it makes us stronger, people who look to others and ask, âHow can I help?â and then âHow can we make this even better?â If youâre ready to roll up your sleeves and help parents raise a financially smart generation, apply to join our team.</span></p><p><br></p><p><span style=""font-size: 16px;"">Greenlight is an equal opportunity employer and will not discriminate against any employee or applicant based on age, race, color, national origin, gender, gender identity or expression, sexual orientation, religion, physical or mental disability, medical condition (including pregnancy, childbirth, or a medical condition related to pregnancy or childbirth), genetic information, marital status, veteran status, or any other characteristic protected by federal, state or local law.</span></p><p><br></p><p><span style=""font-size: 16px;"">Greenlight is committed to an inclusive work environment and interview experience. If you require reasonable accommodations to participate in our hiring process, please reach out to&nbsp;your recruiter directly or email </span><a style=""font-size: 16px;"" href=""mailto:recruiting@greenlight.me"">recruiting@greenlight.me</a><span style=""font-size: 16px;"">. </span></p><br/><br/>Please mention the word **CHEAPEST** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-software-engineer-ii-full-stack-greenlight-financial-technology-1093698
Associate Creative Director,Right Side Up,"Austin, TX","director, design, financial, lead, junior, marketing, digital nomad","<p><b>About the Job</b></p><p><br></p><p><b>Right Side Up</b> is a collective of premium marketing talentâwith all of the marketing chops and none of the agency fluff. Weâre trusted by the most buzzed-about early stage ventures, the fastest-growing tech companies, and well-established Fortune 500 teams to do one thing better: <b>GROWTH</b>.</p><p>Some of our clients include <b>Stitch Fix, Sephora, Yelp, Sun Basket, Crunchbase, DoorDash</b>, and <b>Calm</b>, among many others.</p><p><br></p><p>Weâre seeking a seasoned <b>Associate Creative Director, Visual</b> for a <b>contract engagement</b> to lead the visual direction and execution of marketing, product, events, and social initiatives for our client. In this role, you'll help shape and expand the brand through compelling visual storytelling and strategic design leadership.</p><p><br></p><p><b>Key Responsibilities</b></p><p>- Lead visual design and art direction across integrated campaigns, events, editorial, and social projects</p><p>- Collaborate cross-functionally with writers, designers, motion artists, and strategists to develop cohesive creative concepts</p><p>- Mentor and guide junior designers through feedback and reviews</p><p>- Ensure consistency, quality, and attention to detail across all creative output</p><p>- Present work to internal stakeholders and leadership with clarity and confidence</p><p>- Help evolve and scale the brandâs visual identity and design systems</p><p>- Partner with producers and project managers to manage timelines and creative resources</p><p><br></p><p><b>Qualifications</b></p><p>- 7+ years of experience in design and art direction, including 3+ years in a creative leadership role</p><p>- Strong portfolio showcasing success across branding, campaigns, product, and event design</p><p>- Deep understanding of brand systems, visual storytelling, and cross-channel execution</p><p>- Proven ability to mentor creative teams and thrive in a collaborative environment</p><p>- Experience in product marketing and building visuals that clearly communicate complex product stories</p><p><b>Bonus:</b> Experience in financial services and/or in-product design</p>\n<p></p><p><br></p><p></p>\n<br/><br/>Please mention the word **EMPATHY** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-associate-creative-director-right-side-up-1093697
Revenue Operations Manager,AFAR,"New York, NY","manager, design, support, growth, travel, finance, strategy, management, lead, operations, marketing, sales, digital nomad","<p><b style=""font-size: 11pt;"">AFAR is hiring a Revenue Operations Manager to help power the next chapter of growth in travel media. </b><span style=""font-size: 11pt;"">If you're someone who thrives at the intersection of data, process, and sales strategyâand you love making things run smarter, faster, and more efficientlyâthis role is for you. As </span><b style=""font-size: 11pt;"">Revenue Operations Manager</b><span style=""font-size: 11pt;"">, youâll play a key role in supporting our Sales team with the tools, systems, and insights they need to drive revenue and scale success, reporting directly into the VP, Publisher.</span></p><p><br></p><p><span style=""font-size: 13pt;"">What Youâll Do</span></p><p><br></p><p><b style=""font-size: 11pt;"">Own our CRM (Boostr)</b><span style=""font-size: 11pt;"">: Keep it clean, accurate, and powerful. Youâll lead audits, improve data hygiene, and automate key workflows.</span></p><p><b style=""font-size: 11pt;"">Segment and prioritize accounts</b><span style=""font-size: 11pt;"">: Help sellers focus their time on the most valuable opportunities, using data and logic to guide outreach strategy.</span></p><p><b style=""font-size: 11pt;"">Optimize the sales pipeline</b><span style=""font-size: 11pt;"">: Support weekly reviews, improve forecasting, and help move deals through faster with better stage management and sales processes.</span></p><p><b style=""font-size: 11pt;"">Build smart reporting</b><span style=""font-size: 11pt;"">: Create dashboards and reports that give Sales and Finance the visibility they need to hit goals and make decisions.</span></p><p><b style=""font-size: 11pt;"">Streamline sales operations</b><span style=""font-size: 11pt;"">: Document our full sales process and look for ways to reduce frictionâlike automating lead routing or setting up renewal triggers.</span></p><p><b style=""font-size: 11pt;"">Partner on playbooks and enablement</b><span style=""font-size: 11pt;"">: Work with Marketing to build messaging, templates, and tools that help our sellers close with confidence.</span></p><p><b style=""font-size: 11pt;"">Lead strategic projects</b><span style=""font-size: 11pt;"">: From developing a nationwide DMO database to designing territory plans, youâll help turn big ideas into action.</span></p><p><br></p><p><span style=""font-size: 13pt;"">Qualifications</span></p><p><br></p><p><span style=""font-size: 11pt;"">3+ years of experience in Revenue Operations, Sales Operations, or CRM Administration (media, advertising, or digital publishing experience preferred).</span></p><p><span style=""font-size: 11pt;"">Deep knowledge of CRM systems (Boostr a plus), pipeline forecasting, reporting tools (Excel, Looker, Google Sheets), and sales enablement practices.</span></p><p><span style=""font-size: 11pt;"">Strong communicator with a bias toward action, attention to detail, and ability to work cross-functionally.</span></p><p><span style=""font-size: 11pt;"">Skilled at balancing strategic thinking with day-to-day execution.</span></p><p><span style=""font-size: 11pt;"">Experience in account segmentation, territory planning, and marketing-to-sales funnel design is a strong plus.</span></p><p><span style=""font-size: 11pt;"">Passion for travel, marketing, or media? Thatâs a bonus.</span></p><p><br></p><p><span style=""font-size: 13pt;"">Bonus Projects Youâll Help Lead</span></p><p><br></p><p><span style=""font-size: 11pt;"">*Segmenting 500+ sales accounts into usable priority tiers.</span></p><p><span style=""font-size: 11pt;"">*Creating a universal database of endemic travel accounts to grow advertising revenue.</span></p><p><span style=""font-size: 11pt;"">*Building a lead nurture strategy for accounts not yet in the pipeline.</span></p><p><span style=""font-size: 11pt;"">*Supporting smarter territory planning and vertical-specific outreach.</span></p>\n<p></p><p><br></p><p></p>\n<div>$80,000 - $100,000 a year</div><small><div>Depending on experience</div></small>\n<p><b style=""font-size: 11pt;"">Why AFAR?</b><span style=""font-size: 11pt;""> AFAR is a leading travel media brand dedicated to experiential travel and global citizenship. We believe travel has the power to make the world a better placeâand we reflect those values in our people, partnerships, and products. Youâll join a passionate, collaborative team committed to innovation, creativity, and impact.</span></p><p><br></p><p><b style=""font-size: 11pt;"">Ready to help us modernize our revenue engine and build the future of travel media?</b><span style=""font-size: 11pt;""> Apply nowâweâre excited to meet you.</span></p><br/><br/>Please mention the word **LOGICAL** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-revenue-operations-manager-afar-1093696
Fullstack Golang Engineer,Discern,,"golang, software, golang, engineer, fullstack","Stamford, United States - Discern is a modern registered agent and venture backed software provider. We build technology to automate entity compliance by monitoring status/standing, foreign nexus, automating filing requirements, and acting as a Registered Agent.The Team Youâll Work WithW...<br/><br/>Please mention the word **CLEANLINESS** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-fullstack-golang-engineer-discern-1093694
C C++ Linux developer,Tempesta Technologies,,"linux, c plus plus, c, databases, algorithms, data structures","<p>Weâre looking for talented and experienced C/C++ Linux developers, who can do a lot and want to learn even more. As a part of our team youâll be developing the fastest open source software, investigate and fix sophisticated performance issues on powerful Linux servers and talk on top technical conferences.Â </p><p>Youâll develop performance and scalability extensions of MySQL/InnoDB (e.g. we madeÂ <a href=""https://mariadb.com/kb/en/system-versioned-tables/"">MariaDB System Versioning</a>), the Linux kernel, Nginx and other popular open source projects. Youâll also analyze the performance of heavily loaded large Linux systems and make them even faster.Â </p><p>Youâll be able to talk at major international conferences about the Linux kernel and databases at will.Â </p><p><strong>Required skills:</strong></p><ul class=""wp-block-list""><li>Fluent C and good C++ or willingness to learn C++</li><li>Deep understanding of the Linux kernel</li><li>Good knowledge of classic algorithms and efficient data structures</li><li>Experience with multithreading (POSIX threads, C++ STL)</li></ul><p><strong>Good to have:</strong></p><ul class=""wp-block-list""><li>Experience in the Linux kernel development (kernel/, mm/, net/, security/)</li><li>Some experience with Python to develop functional testing scripts</li><li>Experience in the networking area (IPv4, IPv6, TCP, TLS, QUIC, HTTP)</li><li>Understanding how modern hardware (x86-64 CPUs, network adapters and disks) work</li><li>Experience with Rust or willingness to learn the language</li></ul><p>Please send your CV and cover letter atÂ <a href=""mailto:hr@tempesta-tech.com"">hk@tempesta-tech.com</a>.</p><br/><br/>Please mention the word **SOUNDNESS** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-c-c-linux-developer-tempesta-technologies-1093692
